context_id	query	language	engine	rank	pair_id	other_engine	in_other_engine	other_rank	rank_delta
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	1	tatoeba:11491039:3008736	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	20	-19
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	2	tatoeba:484243:483985	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	17	-15
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	3	tatoeba:2804141:2804142	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	19	-16
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	4	tatoeba:11195158:11085878	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	31	-27
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	5	tatoeba:8823605:1294352	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	18	-13
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	6	tatoeba:9106984:9106983	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	29	-23
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	7	tatoeba:11458067:9512474	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	30	-23
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	8	tatoeba:207433:44686	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	3	5
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	9	tatoeba:11195160:11085878	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	32	-23
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	10	tatoeba:12068436:9015131	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	28	-18
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	11	tatoeba:8621723:7732995	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	25	-14
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	12	tatoeba:11345330:3431160	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	22	-10
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	13	tatoeba:207438:44691	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	8	5
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	14	tatoeba:106544:297142	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	15	-1
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	15	tatoeba:127385:276708	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	12	3
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	16	tatoeba:123631:280366	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	13	3
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	17	tatoeba:212864:50149	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	9	8
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	18	tatoeba:218337:55648	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	10	8
D01	cave	en	zenbu-normalized-literal-substring-length-id-baseline	19	tatoeba:9944502:3422210	sqlite-fts4-porter-quoted-phrase-rowid-order-diagnostic	true	21	-2
