context_id	query	route	result_rank	pair_id	lexical_relation	match_location	match_length	english_term_count	japanese_grapheme_count	rank_tuple
D01	cave	direct-english	1	esp1_7368b958b877f0eb249138855e92d4d3	exact-surface-phrase	0	4	2	6	0|0|2|6|esp1_7368b958b877f0eb249138855e92d4d3
D01	cave	direct-english	2	esp1_6020f7d164814905dbf159741332da85	exact-surface-phrase	4	4	6	11	0|4|6|11|esp1_6020f7d164814905dbf159741332da85
D01	cave	direct-english	3	esp1_706f7676191a34e23a205d88f79d03d9	exact-surface-phrase	4	4	6	12	0|4|6|12|esp1_706f7676191a34e23a205d88f79d03d9
D01	cave	direct-english	4	esp1_59cf11c976fcfae0f1898f2516c98320	exact-surface-phrase	4	4	7	17	0|4|7|17|esp1_59cf11c976fcfae0f1898f2516c98320
D01	cave	direct-english	5	esp1_26aeaefaeb604df707be8d4b672db6a1	exact-surface-phrase	4	4	12	26	0|4|12|26|esp1_26aeaefaeb604df707be8d4b672db6a1
D01	cave	direct-english	6	esp1_f5e8893d00b2d7ba1dd51ee7514d9119	exact-surface-phrase	4	4	12	33	0|4|12|33|esp1_f5e8893d00b2d7ba1dd51ee7514d9119
D01	cave	direct-english	7	esp1_d667ed3e4d44fb23f5b537185da34345	exact-surface-phrase	5	4	6	20	0|5|6|20|esp1_d667ed3e4d44fb23f5b537185da34345
D01	cave	direct-english	8	esp1_f83c414aca4397047894f4b772cb9b0c	exact-surface-phrase	8	4	7	25	0|8|7|25|esp1_f83c414aca4397047894f4b772cb9b0c
D01	cave	direct-english	9	esp1_c9db551314cc45e364db91cd2b34c569	exact-surface-phrase	10	4	4	8	0|10|4|8|esp1_c9db551314cc45e364db91cd2b34c569
D01	cave	direct-english	10	esp1_e78f2bccafd3bc342cb51b4f19122284	exact-surface-phrase	16	4	4	11	0|16|4|11|esp1_e78f2bccafd3bc342cb51b4f19122284
D01	cave	direct-english	11	esp1_4fc0431c613bdea0ef480c4363b6b91e	exact-surface-phrase	17	4	5	13	0|17|5|13|esp1_4fc0431c613bdea0ef480c4363b6b91e
D01	cave	direct-english	12	esp1_50fe14785db4006a3a8c999c43de7f1d	exact-surface-phrase	19	4	6	21	0|19|6|21|esp1_50fe14785db4006a3a8c999c43de7f1d
D01	cave	direct-english	13	esp1_eddcdd80b81292e17d6ac3dc86ce4ae0	exact-surface-phrase	20	4	6	15	0|20|6|15|esp1_eddcdd80b81292e17d6ac3dc86ce4ae0
D01	cave	direct-english	14	esp1_22dfb4103b98e6e96b8bae51134e463f	exact-surface-phrase	20	4	12	28	0|20|12|28|esp1_22dfb4103b98e6e96b8bae51134e463f
D01	cave	direct-english	15	esp1_41c100515c4046fd5f99343760872f7d	exact-surface-phrase	22	4	6	14	0|22|6|14|esp1_41c100515c4046fd5f99343760872f7d
D01	cave	direct-english	16	esp1_79ccaeabdca4a3c6a407c3ca3100e44a	exact-surface-phrase	22	4	6	20	0|22|6|20|esp1_79ccaeabdca4a3c6a407c3ca3100e44a
D01	cave	direct-english	17	esp1_6396db91ebbe9c073b3b91df3e637ee7	exact-surface-phrase	23	4	6	23	0|23|6|23|esp1_6396db91ebbe9c073b3b91df3e637ee7
D01	cave	direct-english	18	esp1_c09937e6a60216175aa9693667e492c9	exact-surface-phrase	24	4	14	39	0|24|14|39|esp1_c09937e6a60216175aa9693667e492c9
D01	cave	direct-english	19	esp1_e7865ca42981bb52c38cf473495de3d6	exact-surface-phrase	25	4	7	10	0|25|7|10|esp1_e7865ca42981bb52c38cf473495de3d6
D01	cave	direct-english	20	esp1_fd208071f5f6849a7da25a436ab4b3f1	exact-surface-phrase	25	4	7	13	0|25|7|13|esp1_fd208071f5f6849a7da25a436ab4b3f1
D01	cave	direct-english	21	esp1_1100af88b960a497ea6630d5cacabf04	exact-surface-phrase	28	4	8	19	0|28|8|19|esp1_1100af88b960a497ea6630d5cacabf04
D01	cave	direct-english	22	esp1_fcb9a54aaa03dacf1eccbab4935aaa9f	exact-surface-phrase	30	4	7	12	0|30|7|12|esp1_fcb9a54aaa03dacf1eccbab4935aaa9f
D01	cave	direct-english	23	esp1_318f4579a45c3748f00df021218fbb19	exact-surface-phrase	32	4	14	30	0|32|14|30|esp1_318f4579a45c3748f00df021218fbb19
D01	cave	direct-english	24	esp1_011f64dd9328ed7cb55442e2eef1f83c	exact-surface-phrase	35	4	8	19	0|35|8|19|esp1_011f64dd9328ed7cb55442e2eef1f83c
D01	cave	direct-english	25	esp1_bfeb70503403f18e81b13153e23ad49b	exact-surface-phrase	38	4	9	21	0|38|9|21|esp1_bfeb70503403f18e81b13153e23ad49b
D01	cave	direct-english	26	esp1_c9abb465c366f8498766dc9ee34e5b6c	exact-surface-phrase	38	4	9	23	0|38|9|23|esp1_c9abb465c366f8498766dc9ee34e5b6c
