context_id	query	route	pair_id	in_baseline	baseline_rank	in_v1	v1_rank	rank_delta
D01	cave	direct-english	esp1_011f64dd9328ed7cb55442e2eef1f83c	true	19	true	24	5
D01	cave	direct-english	esp1_1100af88b960a497ea6630d5cacabf04	true	18	true	21	3
D01	cave	direct-english	esp1_182b70d1baf3f5e862c95fff1d8a6df5	true	28	true	29	1
D01	cave	direct-english	esp1_22dfb4103b98e6e96b8bae51134e463f	true	29	true	14	-15
D01	cave	direct-english	esp1_26aeaefaeb604df707be8d4b672db6a1	true	27	true	5	-22
D01	cave	direct-english	esp1_318f4579a45c3748f00df021218fbb19	true	30	true	23	-7
D01	cave	direct-english	esp1_41c100515c4046fd5f99343760872f7d	true	11	true	15	4
D01	cave	direct-english	esp1_4fc0431c613bdea0ef480c4363b6b91e	true	10	true	11	1
D01	cave	direct-english	esp1_50fe14785db4006a3a8c999c43de7f1d	true	23	true	12	-11
D01	cave	direct-english	esp1_59cf11c976fcfae0f1898f2516c98320	true	13	true	4	-9
D01	cave	direct-english	esp1_6020f7d164814905dbf159741332da85	true	5	true	2	-3
D01	cave	direct-english	esp1_6396db91ebbe9c073b3b91df3e637ee7	true	24	true	17	-7
D01	cave	direct-english	esp1_706f7676191a34e23a205d88f79d03d9	true	8	true	3	-5
D01	cave	direct-english	esp1_7368b958b877f0eb249138855e92d4d3	true	2	true	1	-1
D01	cave	direct-english	esp1_79ccaeabdca4a3c6a407c3ca3100e44a	true	21	true	16	-5
D01	cave	direct-english	esp1_809c101606221aa3148c7a519b475a31	true	14	true	32	18
D01	cave	direct-english	esp1_829ba13c3c5b330e9b75a1ea82bb8e7f	true	16	true	27	11
D01	cave	direct-english	esp1_ae7e697a5e12e695d1abde51fe16a71f	true	32	false	""	""
D01	cave	direct-english	esp1_b21399cfce48e0288a156cf01af98b62	true	15	true	28	13
D01	cave	direct-english	esp1_bad30a3631656bb4ea1232496a8a59cd	true	17	true	31	14
D01	cave	direct-english	esp1_bfeb70503403f18e81b13153e23ad49b	true	22	true	25	3
D01	cave	direct-english	esp1_c09937e6a60216175aa9693667e492c9	true	33	true	18	-15
D01	cave	direct-english	esp1_c9abb465c366f8498766dc9ee34e5b6c	true	25	true	26	1
D01	cave	direct-english	esp1_c9db551314cc45e364db91cd2b34c569	true	3	true	9	6
D01	cave	direct-english	esp1_caff35156a855af2c0d25066ac259bc0	true	1	true	30	29
D01	cave	direct-english	esp1_d667ed3e4d44fb23f5b537185da34345	true	20	true	7	-13
D01	cave	direct-english	esp1_e7865ca42981bb52c38cf473495de3d6	true	4	true	19	15
D01	cave	direct-english	esp1_e78f2bccafd3bc342cb51b4f19122284	true	6	true	10	4
D01	cave	direct-english	esp1_eddcdd80b81292e17d6ac3dc86ce4ae0	true	12	true	13	1
D01	cave	direct-english	esp1_f5e8893d00b2d7ba1dd51ee7514d9119	true	31	true	6	-25
D01	cave	direct-english	esp1_f83c414aca4397047894f4b772cb9b0c	true	26	true	8	-18
D01	cave	direct-english	esp1_fcb9a54aaa03dacf1eccbab4935aaa9f	true	7	true	22	15
D01	cave	direct-english	esp1_fd208071f5f6849a7da25a436ab4b3f1	true	9	true	20	11
D02	cat	direct-english	esp1_0002083c909f01e3d53bb76e7963877c	true	2113	false	""	""
D02	cat	direct-english	esp1_0046d4c9724d2813867ee999f823ba94	true	2078	false	""	""
D02	cat	direct-english	esp1_0067b6e2d301b52b680eb0378efaa2a6	true	64	false	""	""
D02	cat	direct-english	esp1_006ddc557ecf7f7fe4c3caa38049c576	true	612	true	697	85
D02	cat	direct-english	esp1_0070c0ae4656c3515372bb03ded58a8a	true	1126	true	433	-693
D02	cat	direct-english	esp1_008f1ce8f6d8897e4b3469e8c43a17c2	true	1240	false	""	""
D02	cat	direct-english	esp1_00a7c9f499444a5873c5b8248142773e	true	1241	false	""	""
D02	cat	direct-english	esp1_0112a130cf6ccace37bc7b50ace38dd6	true	1024	true	128	-896
D02	cat	direct-english	esp1_0144d31bfdc7523382a79557a2c5b043	true	2295	false	""	""
D02	cat	direct-english	esp1_016bd99e1014cf23700b105fa6d667cc	true	614	false	""	""
D02	cat	direct-english	esp1_0190f6fd27c0fbe89fdf39d99f8463cd	true	1183	false	""	""
D02	cat	direct-english	esp1_01ad074c8ded49c6dcafcde657990f64	true	153	true	273	120
D02	cat	direct-english	esp1_01e717725c07b86ab6035c9332266d55	true	135	true	256	121
D02	cat	direct-english	esp1_021a5a97e1a869a32621a349554489ee	true	1055	false	""	""
D02	cat	direct-english	esp1_021f69b92be4e3e4dbeb0d461a757a5f	true	800	false	""	""
D02	cat	direct-english	esp1_023e42ac53436d5c40dd4ec04286f75e	true	2130	true	642	-1488
D02	cat	direct-english	esp1_024b8b6af52ded1b8c2b4ffb0057fec3	true	1371	false	""	""
D02	cat	direct-english	esp1_02822c4107a8d9104cfae0298d8df35e	true	1180	true	514	-666
D02	cat	direct-english	esp1_03083fedebd88ff866d5c507042ff911	true	2026	true	641	-1385
D02	cat	direct-english	esp1_037fffffdd838aa4f434f20250df7fa3	true	1160	false	""	""
D02	cat	direct-english	esp1_0389fb451bbb46f5a4d35ceb7ca33573	true	1741	false	""	""
D02	cat	direct-english	esp1_03a2afca3e727e4a0558bb538160159b	true	1101	false	""	""
D02	cat	direct-english	esp1_03a57d81feddb610e95a1c6fe74cfd69	true	942	true	129	-813
D02	cat	direct-english	esp1_03bf08b38aa4fc33872cd7c4d4b2bd3f	true	2086	false	""	""
D02	cat	direct-english	esp1_03cd1b459fad4bce8a60172dd078a689	true	2288	false	""	""
D02	cat	direct-english	esp1_03d427cdb1b5e6c21509e8289c02d8ec	true	311	true	73	-238
D02	cat	direct-english	esp1_03da99e8e6791b9924f08a8c18d3a0fa	true	776	true	173	-603
D02	cat	direct-english	esp1_03ed9fa72ad685d81ebb9c447a3dfeaa	true	2409	false	""	""
D02	cat	direct-english	esp1_0422b4bc80b71da3984d8e28eeb8fc03	true	2377	false	""	""
D02	cat	direct-english	esp1_043bdf2bcc5df1f5fe380c96da67ce77	true	1206	false	""	""
D02	cat	direct-english	esp1_044069d3a2af3135cf94001a03199b54	true	1937	false	""	""
D02	cat	direct-english	esp1_044415aa294f79ecd029d52406b3c7d1	true	2034	false	""	""
D02	cat	direct-english	esp1_045b496fadfc9a11d3b63d6343f9abec	true	978	false	""	""
D02	cat	direct-english	esp1_045f5df7f0bbd6a539883a13f3a0acf3	true	1164	true	324	-840
D02	cat	direct-english	esp1_0494933cce4eef3b794fa35d474b4370	true	2036	false	""	""
D02	cat	direct-english	esp1_04a1c4e6cecd10b1aa174b2e59b22503	true	598	false	""	""
D02	cat	direct-english	esp1_04b01e83772d0031ea5e4d9e67b77070	true	2067	false	""	""
D02	cat	direct-english	esp1_04c361e937942ccc419ebefabe7ff26f	true	1386	false	""	""
D02	cat	direct-english	esp1_04c650be145a3d217bf5b44cd3108cd8	true	99	false	""	""
D02	cat	direct-english	esp1_04d8134b01c347b21821b0d64bf7bb64	true	1243	false	""	""
D02	cat	direct-english	esp1_04e51fca27830b3144b1845833dd0b95	true	184	false	""	""
D02	cat	direct-english	esp1_050bb3151e2df60c9139d3be1bfcbdb1	true	2090	false	""	""
D02	cat	direct-english	esp1_051b50a98c6f7519ed4ea5fbf363f4c5	true	1509	true	204	-1305
D02	cat	direct-english	esp1_053e0206733a5755a2223e4219d6524b	true	351	false	""	""
D02	cat	direct-english	esp1_053e3bd789d8fe5c80b4a8f83aa22ccc	true	147	false	""	""
D02	cat	direct-english	esp1_057d19911d843b919300af1f203cec07	true	1274	false	""	""
D02	cat	direct-english	esp1_058f508da20905375747c041dc7a7c5a	true	633	true	724	91
D02	cat	direct-english	esp1_05975116d2d1000b500a1da492d6a50a	true	1866	false	""	""
D02	cat	direct-english	esp1_05a33aa7deb9db3a56c64f6120a8f47c	true	143	false	""	""
D02	cat	direct-english	esp1_05a4e7d16e69eb9ac29bdd99c43f42a3	true	790	false	""	""
D02	cat	direct-english	esp1_05a5a56be648201ee5d0d1e1436f19f0	true	1125	false	""	""
D02	cat	direct-english	esp1_05cfbac5d02c254383f6df6aafb4eefb	true	1486	false	""	""
D02	cat	direct-english	esp1_05d710ab9473b13c33d7588b0a623c9f	true	1326	false	""	""
D02	cat	direct-english	esp1_05f01b0b9385ca9d2e664db39d2c561d	true	2059	false	""	""
D02	cat	direct-english	esp1_062bc9434c9500b1e5ec878e60655a9a	true	49	false	""	""
D02	cat	direct-english	esp1_064bbeb2c3500469d2fc03c0b7cb8831	true	1190	false	""	""
D02	cat	direct-english	esp1_066f5316fdab3f7a2f052474e54f954d	true	2473	false	""	""
D02	cat	direct-english	esp1_06c2913ab27bf9dae6b22c9d2fe2c90a	true	2257	false	""	""
D02	cat	direct-english	esp1_06db1f1639fd90a7d2786a262a934937	true	168	true	84	-84
D02	cat	direct-english	esp1_06e046a603894e4d2334667c158c4115	true	131	true	5	-126
D02	cat	direct-english	esp1_06e2a021e4dd18cbdc60d62d52fc6179	true	1899	false	""	""
D02	cat	direct-english	esp1_06e3a0d2610ddb5a49cd58d398f4819a	true	1767	false	""	""
D02	cat	direct-english	esp1_06f8dc1e2bc429c0f45c71a2e1567e97	true	1380	false	""	""
D02	cat	direct-english	esp1_0746fded4e7af4ddc40ed99bad7de221	true	938	false	""	""
D02	cat	direct-english	esp1_075aa3a4c22982eef30d3e6f2b53a612	true	1739	false	""	""
D02	cat	direct-english	esp1_077bb31844692085b2b1ce00db4cf562	true	2178	false	""	""
D02	cat	direct-english	esp1_0793b61f070e1dc18b5b073cf4274ea6	true	1260	true	287	-973
D02	cat	direct-english	esp1_079f40ce43c8f4d903aa855edb97d952	true	2396	false	""	""
D02	cat	direct-english	esp1_07a1d61a64ac4e6526d6dd716a5d3cba	true	2272	false	""	""
D02	cat	direct-english	esp1_07b669c54faec6de729b0b6dc553ccbd	true	851	false	""	""
D02	cat	direct-english	esp1_07c64021206af4727c11aecf7e6f3829	true	951	false	""	""
D02	cat	direct-english	esp1_07f2ce85699551975c209dcd1f8b6619	true	177	true	31	-146
D02	cat	direct-english	esp1_083c53956a083fe16690c0fa715d6c42	true	175	true	233	58
D02	cat	direct-english	esp1_085accc9cf9bb6a58426cd6990ab9d4c	true	1485	false	""	""
D02	cat	direct-english	esp1_086fd60195043a84ed78d01174e45cc9	true	1972	false	""	""
D02	cat	direct-english	esp1_08ee5ddeed1d7ab8208a7ef3d9a9f3b0	true	1608	false	""	""
D02	cat	direct-english	esp1_08f1bcafd19104b9548f42fbec6f3057	true	708	true	617	-91
D02	cat	direct-english	esp1_08f20045954c318b0e64923f6282111a	true	690	false	""	""
D02	cat	direct-english	esp1_08f5d2e8e3ea5be80ed1661ee7facdfe	true	195	false	""	""
D02	cat	direct-english	esp1_0907c8e04e4209b6fcaa3041adde30cc	true	2433	false	""	""
D02	cat	direct-english	esp1_093f6f0729c271eb9a51306fa9f6911e	true	2210	false	""	""
D02	cat	direct-english	esp1_09428263e3b6d95141601385abcd18dd	true	963	false	""	""
D02	cat	direct-english	esp1_095ce2f9b013fd098a533bb7d39a2e7d	true	1307	true	708	-599
D02	cat	direct-english	esp1_095db1a57ef5c32797d8eb9397ae2740	true	232	true	463	231
D02	cat	direct-english	esp1_09724277702a489400467de86388c1a7	true	2492	false	""	""
D02	cat	direct-english	esp1_097627e38ae4d04ee7c08a3dafb0d832	true	1736	false	""	""
D02	cat	direct-english	esp1_09880840ce7720cc9ebac21a487af46d	true	1830	true	400	-1430
D02	cat	direct-english	esp1_09bed5e295ee89c50d711ca1dd9073f1	true	1782	false	""	""
D02	cat	direct-english	esp1_0a08097609ac6acb1b21bf0eddcc170e	true	478	false	""	""
D02	cat	direct-english	esp1_0a3af03af0efacae98ec2b18b1b21d57	true	537	false	""	""
D02	cat	direct-english	esp1_0a54cd70796ccb357fc47bb4b59db87a	true	2449	false	""	""
