context_id	phase	context_type	query_or_entry	category	probe_intent
D01	discovery	dictionary-entry	cave	english-noun	baseline exact headword and source ordering
D02	discovery	dictionary-entry	cat	english-noun	exact token and morphological plural
D03	discovery	dictionary-entry	eat	english-verb	lemma and English inflection
D04	discovery	dictionary-entry	beautiful	english-adjective	adjective and derived-form behavior
D05	discovery	dictionary-entry	thank you	english-phrase	multi-word exact phrase and variants
D06	discovery	direct-search	scared you	english-phrase	partial phrase and inflected verb discrepancy
D07	discovery	direct-search	startled you	english-phrase	negative inflected phrase control
D08	discovery	direct-search	scare you	english-phrase	base-form phrase control
D09	discovery	direct-search	red you	english-phrase	substring-only negative control
D10	discovery	direct-search	startle you	english-phrase	base-form phrase control
D11	discovery	direct-search	startled me	english-phrase	inflected positive control
D12	discovery	direct-search	scatter	english-verb	cat substring negative control
D13	discovery	direct-search	education	english-noun	cat substring negative control
D14	discovery	direct-search	great	english-adjective	eat substring negative control
D15	discovery	direct-search	neat	english-adjective	eat substring negative control
D16	discovery	direct-search	quickly	english-adverb	adverb token behavior
D17	discovery	direct-search	cat!	punctuation	punctuation and token boundary normalization
D18	discovery	direct-search	食べる	japanese-dictionary-form	Japanese token and lemma baseline
D19	discovery	direct-search	食べた	japanese-inflected-form	Japanese conjugated-form behavior
D20	discovery	direct-search	ねこ	japanese-kana	kana variant of a kanji headword
H01	holdout	direct-search	dog	english-noun	unseen exact token and plural behavior
H02	holdout	direct-search	concatenate	english-verb	cat substring negative control
H03	holdout	direct-search	eating	english-inflected-form	unseen English inflection
H04	holdout	direct-search	greater	english-comparative	great and eat overlap control
H05	holdout	direct-search	frightened you	english-phrase	unseen inflected multi-word phrase
H06	holdout	direct-search	surprised me	english-phrase	unseen inflected multi-word phrase
H07	holdout	direct-search	ありがとう	japanese-surface-form	Japanese direct exact surface form
H08	holdout	direct-search	きれい	japanese-kana	Japanese kana and ambiguous lexical form
H09	holdout	dictionary-entry	猫	japanese-kanji-entry	Japanese written-form entry relationship
H10	holdout	dictionary-entry	食べる	japanese-verb-entry	Japanese lemma entry and inflected examples
