context_id	query	route	complete_match_count	count_kind	count_value	truncated	visible_count	complete_ranked_sha256	visible_ranked_sha256
D01	cave	direct-english	32	exact	32	false	32	e071943c94e22eea8948002bf776ecf6e54b18ae4897ace0175677048ae5c089	e071943c94e22eea8948002bf776ecf6e54b18ae4897ace0175677048ae5c089
D02	cat	direct-english	762	more-than-50	50	true	100	cffb855c42d6fb4f22b2d47967447ad7ad2ce2cce72eb685377c40db34440e09	a692c9db0368d7bd348e3a9585116b40d3868e7886c14d9985dfaf614ea8ffc1
D03	eat	direct-english	1875	more-than-50	50	true	100	e08f1b2427a037b6faf5d67fe760b33139bfd2bcae353e78c3f58fcf2fee9829	d6cc5984508a14b2e3e8c93d950b592869d048bfa08fa2da30cc947466cfd0a6
D04	beautiful	direct-english	1048	more-than-50	50	true	100	007f0b263d9c8970a72da565c543bad8ec9a026a4ade52e122f8206511b85d21	cdb6c66299d6956c401563a31db6cf3937ca4d7c91f4787724f938d2b22d95b4
D05	thank you	direct-english	511	more-than-50	50	true	100	a05dbd0c372f7533e488224af107ed33303b3ba30a2d19bdd7240565b7e9cdb1	553a55c94169063b1e14832d386438e3229446acb0d3acad36048011ed844baa
D06	scared you	direct-english	5	exact	5	false	5	025e3173ca9e6ea71a967bba5df398d59332b1d0ab90eaaa2653925bf3395e2f	025e3173ca9e6ea71a967bba5df398d59332b1d0ab90eaaa2653925bf3395e2f
D07	startled you	direct-english	0	exact	0	false	0	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
D08	scare you	direct-english	5	exact	5	false	5	ac974c3667cf60bac8cec4ee90d2af7f097ef05127e2b59749cc5bebff8285f6	ac974c3667cf60bac8cec4ee90d2af7f097ef05127e2b59749cc5bebff8285f6
D09	red you	direct-english	0	exact	0	false	0	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
D10	startle you	direct-english	1	exact	1	false	1	19575e084d62aa6e56257b93311ccf38c3fd8f0983c315b6fc62f96f1f049d64	19575e084d62aa6e56257b93311ccf38c3fd8f0983c315b6fc62f96f1f049d64
D11	startled me	direct-english	2	exact	2	false	2	854cd89cbd143b233096c57e75b024b542935df16ace3f0938596b65635c32bb	854cd89cbd143b233096c57e75b024b542935df16ace3f0938596b65635c32bb
D12	scatter	direct-english	21	exact	21	false	21	1cff3e4b97479f79b04f3b338722c0dbe4441d53426967ffa70dcba0a1ee4f4c	1cff3e4b97479f79b04f3b338722c0dbe4441d53426967ffa70dcba0a1ee4f4c
D13	education	direct-english	228	more-than-50	50	true	100	52d48f2130a345912cf42e223668762a90c62753fdb8f946d2db2cf017b81a66	90fe33478e21cfa6ac6c6fe416e3d5d220a0d8dce7b18bc0918adcd42d5c1444
D14	great	direct-english	1184	more-than-50	50	true	100	97c36fcffb76572696d87ff62e46b50cc7beb9cc667cea9900ea6868da47696a	d63ca977554b9a33bf86bb025e19da19360592e2d2f50bab3818112344432f2c
D15	neat	direct-english	19	exact	19	false	19	248a1a541236dadaaadb1ee7740d55fa521d7d4644670d0a48d6008ee66ce411	248a1a541236dadaaadb1ee7740d55fa521d7d4644670d0a48d6008ee66ce411
D16	quickly	direct-english	311	more-than-50	50	true	100	921af267e0317ebd147139366e46ea51b2d2961cc51a8ada132c73c47f9011af	021b893b28480b57e6d87e0ee6d9256b34bba3d351e8a226f38a0965ed20cc2e
D17	cat!	direct-english	762	more-than-50	50	true	100	cffb855c42d6fb4f22b2d47967447ad7ad2ce2cce72eb685377c40db34440e09	a692c9db0368d7bd348e3a9585116b40d3868e7886c14d9985dfaf614ea8ffc1
D18	食べる	direct-japanese	456	more-than-50	50	true	100	52dd52fb611bbaa7773b6a6956d3537ff8aeeb8a200ae3bc7f675d20602d019a	63cf909bd5b3c22d60a553c84f6e388f35796522719e7320abd6b29935b193b0
D19	食べた	direct-japanese	639	more-than-50	50	true	100	a8722cd7fa808610c959583ec1ca3b228114bf8f5d8ca367ecca38acbb2aff0e	9399b29e9c8013ad319106029e1433c8e6ce44a8fcfaf40494eebae7f74a1706
D20	ねこ	direct-japanese	10	exact	10	false	10	acd44dd75b679c021026bee26d8c57cb9008a8128c3e67c2ed01dc03e4995719	acd44dd75b679c021026bee26d8c57cb9008a8128c3e67c2ed01dc03e4995719
