context_id	phase	context_type	query_or_entry	language	reference_version	environment	captured_at_start	captured_at_end	private_evidence_start_pointer	private_evidence_start_sha256	private_evidence_terminal_pointer	private_evidence_terminal_sha256	count_value	count_kind	captured_row_count	exhaustive	terminal_evidence	zenbu_baseline
D01	discovery	direct-search	cave	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-15T01:14:57+09:00	2026-08-15T01:18:03+09:00	private://issue-147/D01-cave-root-count.png	ebd6a67ba7a6f6618278f743426fefbf6662979d8e0d8e3fe6c01a1e855f4a8a	private://issue-147/D01-cave-top20-04.png	140060cf076d5909e55b77685e681788c950683a160b2371de8d66a5449b9fd3	32	exact	20	false	displayed-count-plus-ordered-top-20	Zenbu-140b194
D02	discovery	direct-search	cat	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-15T01:18:28+09:00	2026-08-15T01:18:59+09:00	private://issue-147/D02-cat-root-count.png	393f519113d2d18d8208c3e1de287664ecf204384e622d950688417a9b306cd2	private://issue-147/D02-cat-top20-04.png	b3f0d672394deed98c4d7317c7938c996ee77ebce52ccd49d9f78bb18001aea7	50	capped-lower-bound	20	false	displayed-count-plus-ordered-top-20	Zenbu-140b194
D03	discovery	direct-search	eat	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-15T01:19:25+09:00	2026-08-15T01:20:02+09:00	private://issue-147/D03-eat-root-count.png	88cffae72103893a1faec920636c3bd0894f608a5b695ae422d62b9a89214a88	private://issue-147/D03-eat-top20-04.png	1d33e1cd47a35db7847d85bcda8b9ba97b9bb4ccab2a3d96e547a3608658d0fe	50	capped-lower-bound	20	false	displayed-count-plus-ordered-top-20	Zenbu-140b194
D04	discovery	direct-search	beautiful	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-15T01:20:27+09:00	2026-08-15T01:21:04+09:00	private://issue-147/D04-beautiful-root-count.png	39015b411d3dc37cb1554822d40217229f3e2b34d70198a0a377bcc34e358e1c	private://issue-147/D04-beautiful-top20-04.png	4ad322d83e8445c007465dc16b144bbbff4c9cc814028733dfd41d411897476c	50	capped-lower-bound	20	false	displayed-count-plus-ordered-top-20	Zenbu-140b194
D05	discovery	direct-search	thank you	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-15T01:23:39+09:00	2026-08-15T01:25:30+09:00	private://issue-147/D05-thank-you-root-count.png	068853ed42a9f4b42abad19b1df0804851d9ce8a00b1399de113e45936c7be2c	private://issue-147/D05-thank-you-top20-04.png	4ad888bdc3e83ad25a6a44fbdbf18cf822192def78f5cf44dd10c3642a79def6	50	capped-lower-bound	20	false	displayed-count-plus-ordered-top-20	Zenbu-140b194
D06	discovery	direct-search	scared you	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-14T21:21:44+09:00	2026-08-14T21:21:44+09:00	private://issue-148/nihongo-scared-you-examples.png	db8ddaa013933af200e60f5bd321b18fc5e6c4956f1a06641027ff9b7d210f5d	private://issue-148/nihongo-scared-you-examples.png	db8ddaa013933af200e60f5bd321b18fc5e6c4956f1a06641027ff9b7d210f5d	4	exact	4	true	exact-count-screen	Zenbu-140b194
D07	discovery	direct-search	startled you	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-14T21:24:18+09:00	2026-08-14T21:24:18+09:00	private://issue-148/nihongo-startled-you-search.png	ae8b86e9bdef3b674ca5057e112222ef14c1cc96bde66824dcaf0982beb38191	private://issue-148/nihongo-startled-you-search.png	ae8b86e9bdef3b674ca5057e112222ef14c1cc96bde66824dcaf0982beb38191	0	exact	0	true	exact-count-screen	Zenbu-140b194
D08	discovery	direct-search	scare you	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-14T21:24:46+09:00	2026-08-14T21:24:46+09:00	private://issue-148/nihongo-scare-you-examples.png	a8d7bf095bd9f479fe2ff2eda9d010980bd673d3e459f1c60c56ebeaf4b39607	private://issue-148/nihongo-scare-you-examples.png	a8d7bf095bd9f479fe2ff2eda9d010980bd673d3e459f1c60c56ebeaf4b39607	4	exact	4	true	exact-count-screen	Zenbu-140b194
D09	discovery	direct-search	red you	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-14T21:25:28+09:00	2026-08-14T21:25:28+09:00	private://issue-148/nihongo-red-you-search.png	7ef206181412f0373dc819999ebcf94b99713bddd6eb9dfb8aff45440440802e	private://issue-148/nihongo-red-you-search.png	7ef206181412f0373dc819999ebcf94b99713bddd6eb9dfb8aff45440440802e	0	exact	0	true	exact-count-screen	Zenbu-140b194
D10	discovery	direct-search	startle you	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-14T21:25:51+09:00	2026-08-14T21:25:51+09:00	private://issue-148/nihongo-startle-you-examples.png	b6bddda5557ae3a235e18bfe8d59db7f7b173948051c29fe6d8d191561dd90bc	private://issue-148/nihongo-startle-you-examples.png	b6bddda5557ae3a235e18bfe8d59db7f7b173948051c29fe6d8d191561dd90bc	1	exact	1	true	exact-count-screen	Zenbu-140b194
