sample_id	query	entry_class	observed_rank	capture_timestamp	internal_evidence_pointer	evidence_sha256	japanese	english	japanese_id	english_id	general_japanese	general_english	direct_link	japanese_cc0	english_cc0	japanese_indices	japanese_contributor	japanese_contributor_status	english_contributor	english_contributor_status	pair_license	zenbu_exact_pair
cave-01	cave	noun	1	2026-08-14T17:50:11+09:00	private://issue-140/cave-page-1-2026-08-14T1750JST.png	7ff04084badff165d579ade19247bee877dd158c2857436d90fa3eb30d70c8d7	洞窟を脱出！	Cave escape!	484243	483985	true	true	true	false	false	false	blay_paul	named	blay_paul	named	CC BY 2.0 FR	true
cave-02	cave	noun	2	2026-08-14T17:50:11+09:00	private://issue-140/cave-page-1-2026-08-14T1750JST.png	7ff04084badff165d579ade19247bee877dd158c2857436d90fa3eb30d70c8d7	洞窟は暗い。	Caves are dark.	11491039	3008736	true	true	true	false	false	false	small_snow	named	Hybrid	named	CC BY 2.0 FR	true
cave-03	cave	noun	3	2026-08-14T17:50:11+09:00	private://issue-140/cave-page-1-2026-08-14T1750JST.png	7ff04084badff165d579ade19247bee877dd158c2857436d90fa3eb30d70c8d7	これは洞窟です。	This is a cave.	2804141	2804142	true	true	true	false	false	false	willthemiller	named	willthemiller	named	CC BY 2.0 FR	true
cave-04	cave	noun	4	2026-08-14T17:50:11+09:00	private://issue-140/cave-page-1-2026-08-14T1750JST.png	7ff04084badff165d579ade19247bee877dd158c2857436d90fa3eb30d70c8d7	洞窟は真っ暗だった。	It was pitch-dark in the cave.	11195158	11085878	true	true	true	false	false	false	small_snow	named	sundown	named	CC BY 2.0 FR	true
cave-05	cave	noun	5	2026-08-14T17:50:11+09:00	private://issue-140/cave-page-1-2026-08-14T1750JST.png	7ff04084badff165d579ade19247bee877dd158c2857436d90fa3eb30d70c8d7	洞窟は蛍でいっぱいだ。	The cave is full of fireflies.	8823605	1294352	true	true	true	false	false	false	small_snow	named	marcelostockle	named	CC BY 2.0 FR	true
cave-06	cave	noun	6	2026-08-14T17:50:11+09:00	private://issue-140/cave-page-1-2026-08-14T1750JST.png	7ff04084badff165d579ade19247bee877dd158c2857436d90fa3eb30d70c8d7	トムは洞窟に入ったよ。	Tom entered the cave.	9106984	9106983	true	true	true	false	false	false	small_snow	named	CK	named	CC BY 2.0 FR	true
cave-07	cave	noun	7	2026-08-14T17:50:11+09:00	private://issue-140/cave-page-1-2026-08-14T1750JST.png	7ff04084badff165d579ade19247bee877dd158c2857436d90fa3eb30d70c8d7	その洞穴は近づきやすい。	The cave is easy to access.	207433	44686	true	true	true	false	false	true		not-supplied		not-supplied	CC BY 2.0 FR	true
cat-01	cat	noun	1	2026-08-14T17:50:40+09:00	private://issue-140/cat-page-1-2026-08-14T1750JST.png	fa7b960014472ddd185b5fd9d532015f177712c662c78372a91094038689af96	病は気から。	Care killed a cat.	85345	269036	true	true	true	false	false	true	tommy__san	named		not-supplied	CC BY 2.0 FR	true
cat-02	cat	noun	2	2026-08-14T17:50:40+09:00	private://issue-140/cat-page-1-2026-08-14T1750JST.png	fa7b960014472ddd185b5fd9d532015f177712c662c78372a91094038689af96	彼は猫を飼っている。	He keeps a cat.	101396	302300	true	true	true	false	false	true	bunbuku	named	CK	named	CC BY 2.0 FR	true
cat-03	cat	noun	3	2026-08-14T17:50:40+09:00	private://issue-140/cat-page-1-2026-08-14T1750JST.png	fa7b960014472ddd185b5fd9d532015f177712c662c78372a91094038689af96	彼女はネコをこわがる。	She is afraid of cats.	91803	311909	true	true	true	false	false	true	zipangu	named	CK	named	CC BY 2.0 FR	true
cat-04	cat	noun	4	2026-08-14T17:50:40+09:00	private://issue-140/cat-page-1-2026-08-14T1750JST.png	fa7b960014472ddd185b5fd9d532015f177712c662c78372a91094038689af96	彼女はネコが大好きだ。	She adores cats.	91804	311908	true	true	true	false	false	true	bunbuku	named	CM	named	CC BY 2.0 FR	true
cat-05	cat	noun	5	2026-08-14T17:50:40+09:00	private://issue-140/cat-page-1-2026-08-14T1750JST.png	fa7b960014472ddd185b5fd9d532015f177712c662c78372a91094038689af96	彼らはまるで犬と猿だ。	They get along like a cat and a dog.	97661	306043	true	true	true	false	false	true		not-supplied	CM	named	CC BY 2.0 FR	true
cat-06	cat	noun	6	2026-08-14T17:50:40+09:00	private://issue-140/cat-page-1-2026-08-14T1750JST.png	fa7b960014472ddd185b5fd9d532015f177712c662c78372a91094038689af96	彼は猫が好きではない。	He does not like cats.	101398	302298	true	true	true	false	false	true	Sim5634	named	CH	named	CC BY 2.0 FR	true
cat-07	cat	noun	7	2026-08-14T17:50:40+09:00	private://issue-140/cat-page-1-2026-08-14T1750JST.png	fa7b960014472ddd185b5fd9d532015f177712c662c78372a91094038689af96	妖精は王子を猫に変えた。	The fairy changed the prince into a cat.	78908	324808	true	true	true	false	false	true		not-supplied	shekitten	named	CC BY 2.0 FR	true
eat-01	eat	verb	1	2026-08-14T17:54:10+09:00	private://issue-140/eat-page-1-2026-08-14T1754JST.png	aa524cc24944dfaddd07852fa0ed61754b02fbdad1fed0927ab00fa9c1b49730	論より証拠。	The proof of the pudding is in the eating.	77229	34326	true	true	true	false	false	true	mookeee	named	CM	named	CC BY 2.0 FR	true
eat-02	eat	verb	2	2026-08-14T17:54:10+09:00	private://issue-140/eat-page-1-2026-08-14T1754JST.png	aa524cc24944dfaddd07852fa0ed61754b02fbdad1fed0927ab00fa9c1b49730	野菜を食べたら？	Why don't you eat some vegetables?	5160	2765281	true	true	true	false	false	false	bunbuku	named	CK	named	CC BY 2.0 FR	true
eat-03	eat	verb	3	2026-08-14T17:54:10+09:00	private://issue-140/eat-page-1-2026-08-14T1754JST.png	aa524cc24944dfaddd07852fa0ed61754b02fbdad1fed0927ab00fa9c1b49730	食事中本を読んだ。	I read a book while eating.	5222	1881	true	true	true	false	false	false	mookeee	named	bmorsello	named	CC BY 2.0 FR	true
eat-04	eat	verb	4	2026-08-14T17:54:10+09:00	private://issue-140/eat-page-1-2026-08-14T1754JST.png	aa524cc24944dfaddd07852fa0ed61754b02fbdad1fed0927ab00fa9c1b49730	あまり食べ過ぎるな。	Don't eat too much.	78956	324760	true	true	true	false	false	true	bunbuku	named	CK	named	CC BY 2.0 FR	true
eat-05	eat	verb	5	2026-08-14T17:54:10+09:00	private://issue-140/eat-page-1-2026-08-14T1754JST.png	aa524cc24944dfaddd07852fa0ed61754b02fbdad1fed0927ab00fa9c1b49730	両方一度にはできんよ。	You can't have your cake and eat it too.	77970	62636	true	true	true	false	false	true	mookeee	named	Scott	named	CC BY 2.0 FR	true
eat-06	eat	verb	6	2026-08-14T17:54:10+09:00	private://issue-140/eat-page-1-2026-08-14T1754JST.png	aa524cc24944dfaddd07852fa0ed61754b02fbdad1fed0927ab00fa9c1b49730	一緒に食べに行きましょう。	Let's go to eat together.	75107	328612	true	true	true	false	false	true	fcbond	named	fcbond	named	CC BY 2.0 FR	true
eat-07	eat	verb	7	2026-08-14T17:54:10+09:00	private://issue-140/eat-page-1-2026-08-14T1754JST.png	aa524cc24944dfaddd07852fa0ed61754b02fbdad1fed0927ab00fa9c1b49730	両方いいようにはできない。	You can't have your cake and eat it too.	77975	62636	true	true	true	false	false	true	mookeee	named	Scott	named	CC BY 2.0 FR	true
beautiful-01	beautiful	adjective	1	2026-08-14T17:54:29+09:00	private://issue-140/beautiful-page-1-2026-08-14T1754JST.png	5419610ab197d919848872429bb797d91066631d90a272c048ba82a5971807f5	美人だなあ。	She is beautiful.	85541	410244	true	true	true	false	false	true	bunbuku	named	CK	named	CC BY 2.0 FR	true
beautiful-02	beautiful	adjective	2	2026-08-14T17:54:29+09:00	private://issue-140/beautiful-page-1-2026-08-14T1754JST.png	5419610ab197d919848872429bb797d91066631d90a272c048ba82a5971807f5	人生は美しい。	Life is beautiful.	5196	1829	true	true	true	false	false	false	mookeee	named	CK	named	CC BY 2.0 FR	true
beautiful-03	beautiful	adjective	3	2026-08-14T17:54:29+09:00	private://issue-140/beautiful-page-1-2026-08-14T1754JST.png	5419610ab197d919848872429bb797d91066631d90a272c048ba82a5971807f5	美しい日です。	It's a beautiful day.	85563	318150	true	true	true	false	false	true		not-supplied	CK	named	CC BY 2.0 FR	true
