context_id	query	route	baseline_complete_count	baseline_ranked_sha256	v1_complete_count	v1_ranked_sha256	mutual_count	baseline_only_count	v1_only_count	mutual_order_agreement	mean_absolute_rank_delta	max_absolute_rank_delta
D01	cave	direct-english	33	0eff2693ccb5ffc047f9662707128c772c02d27be18769d8ffa8c7c5bae00a58	32	e071943c94e22eea8948002bf776ecf6e54b18ae4897ace0175677048ae5c089	32	1	0	0.548387	9.718750	29
D02	cat	direct-english	2506	73ed38d333cffb966f7492cdc56f5cc0301a5e7e8d14515f1e431cadbe7f8897	762	cffb855c42d6fb4f22b2d47967447ad7ad2ce2cce72eb685377c40db34440e09	762	1744	0	0.591469	666.633858	2132
D03	eat	direct-english	7206	9d4774b8a5031e191d78fdf2e833fff7cb20e5b73931d92b80d32e91edfdfebe	1875	e08f1b2427a037b6faf5d67fe760b33139bfd2bcae353e78c3f58fcf2fee9829	1875	5331	0	0.619597	2407.130133	6832
D04	beautiful	direct-english	873	d156d5c895210d05d120edde91b5951e243faa26c475a8b182d87b92ffd793e2	1048	007f0b263d9c8970a72da565c543bad8ec9a026a4ade52e122f8206511b85d21	850	23	198	0.669061	195.685882	817
D05	thank you	direct-english	505	da0ec7523786367bfa84d3553ef7b41ffcc430656c0818f659e723602c200bcd	511	a05dbd0c372f7533e488224af107ed33303b3ba30a2d19bdd7240565b7e9cdb1	503	2	8	0.714130	106.803181	383
D06	scared you	direct-english	1	1c30153e23491e01be11e13c1612e936d699530977144a6e647a5be27b29b87c	5	025e3173ca9e6ea71a967bba5df398d59332b1d0ab90eaaa2653925bf3395e2f	1	0	4	na	0.000000	0
D07	startled you	direct-english	0	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b	0	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b	0	0	0	na	na	na
D08	scare you	direct-english	4	df4d12913a067607eb337540d4abcfcf1b038f2d27624e73e33ccf426f131fec	5	ac974c3667cf60bac8cec4ee90d2af7f097ef05127e2b59749cc5bebff8285f6	4	0	1	0.333333	1.500000	3
D09	red you	direct-english	20	30506b7453700ecb2392528f7605d8d52847852444e8b1f0b7579de375a013f2	0	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b	0	20	0	na	na	na
D10	startle you	direct-english	1	19575e084d62aa6e56257b93311ccf38c3fd8f0983c315b6fc62f96f1f049d64	1	19575e084d62aa6e56257b93311ccf38c3fd8f0983c315b6fc62f96f1f049d64	1	0	0	na	0.000000	0
D11	startled me	direct-english	2	854cd89cbd143b233096c57e75b024b542935df16ace3f0938596b65635c32bb	2	854cd89cbd143b233096c57e75b024b542935df16ace3f0938596b65635c32bb	2	0	0	1.000000	0.000000	0
D12	scatter	direct-english	22	5c4dcfa5191c7d5b4622b2f7a810be448d5aa218894c2da6e7923a64f2ce181a	21	1cff3e4b97479f79b04f3b338722c0dbe4441d53426967ffa70dcba0a1ee4f4c	21	1	0	0.652381	5.476190	15
D13	education	direct-english	195	0147200306bfcfd7719c8481ac34ad4059dfdb05984e77d06ac768b811b7136a	228	52d48f2130a345912cf42e223668762a90c62753fdb8f946d2db2cf017b81a66	195	0	33	0.643352	50.174359	180
D14	great	direct-english	1398	9b633b85533c3dde5726c2ad19e1fa6fef5dd66cf9bacce43a5edf5b7050858b	1184	97c36fcffb76572696d87ff62e46b50cc7beb9cc667cea9900ea6868da47696a	1184	214	0	0.640430	334.253378	1246
D15	neat	direct-english	61	6f95d1a40f111d85edad66a6b09379cee8dde06b402958124787dee5faca9b64	19	248a1a541236dadaaadb1ee7740d55fa521d7d4644670d0a48d6008ee66ce411	19	42	0	0.590643	22.000000	48
D16	quickly	direct-english	311	ce6518bda735a445fd6492c43f9047f29e7d9e56962b18635b1aad2bbd778173	311	921af267e0317ebd147139366e46ea51b2d2961cc51a8ada132c73c47f9011af	311	0	0	0.712167	62.237942	279
D17	cat!	direct-english	1	49ef7ba21c975d9784c7b12fea9e7f0442bd67a09556fea7479ee4d169cc8732	762	cffb855c42d6fb4f22b2d47967447ad7ad2ce2cce72eb685377c40db34440e09	1	0	761	na	544.000000	544
D18	食べる	direct-japanese	456	1e5bcbcd823dce5ec164f3f0860b55b17e28f6510b25d9ebfa19df31462253f5	456	52dd52fb611bbaa7773b6a6956d3537ff8aeeb8a200ae3bc7f675d20602d019a	456	0	0	0.746915	85.618421	373
D19	食べた	direct-japanese	639	687e3d8f6b79ab37529b0edfda304449306ebf8d5a916436cf2e37617ceff638	639	a8722cd7fa808610c959583ec1ca3b228114bf8f5d8ca367ecca38acbb2aff0e	639	0	0	0.775781	108.253521	546
D20	ねこ	direct-japanese	10	c8e4e490500d1789f5f2e8a86b51d1cad34d55b1282218c827b87522afd77704	10	acd44dd75b679c021026bee26d8c57cb9008a8128c3e67c2ed01dc03e4995719	10	0	0	0.733333	2.000000	5
